, Clustering w/h new attributes,,Number of statements,No. of  iterations in outer,No. of  iterations in inner,No. of statements in outer ,No. of statements in inner,Number of loops,levels of nested loops,total  iterations ,# of Complex Variables,CC*,function calls,branches ,SWPP,Number of inputs,Number of outputs,Sizes of input data (byte),Sizes of output data (byte),No. 0f iterations* statement inner,Repeating times, adjusted execution time
0,1,Autocorrelation - Data1 (pulse),5,8,13,3,2,1,2,100,0,3,0,0,1,2,1,16,8,200,0.149149149149149,76350
1,2,Autocorrelation - Data2 (sine),5,16,1017,3,2,1,2,16272,0,3,0,0,1,2,1,1024,16,32544,0.001001001001001,98386
2,3,Autocorrelation - Data3 (speech),5,32,485,3,2,1,2,15520,0,3,0,0,1,2,1,500,32,31040,0.0,47297
3,4,Convolutional Encoder - Data1 (xk5r2dt),13,1024,5,5,3,2,3,5120,0,5,0,1,1,5,1,512,512,15360,0.0,42014
4,5,Convolutional Encoder - Data2 (xk4r2dt),13,1024,4,5,3,2,3,4096,0,5,0,1,1,5,1,512,512,12288,0.0,41501
5,6,Convolutional Encoder - Data3 (xk3r2dt),13,1024,3,5,3,2,3,3072,0,5,0,1,1,5,1,512,512,9216,0.0,40297
6,7,Fixed-point Bit Allocation - Data2 (typ),17,80,256,4,11,1,2,20480,0,7,0,3,1,6,1,256,256,225280,0.0,159448
7,8,Fixed-point Bit Allocation - Data3 (step),17,70,20,4,11,1,2,1400,0,7,0,3,1,6,1,20,20,15400,0.0,20968
8,9,Fixed Point Bit Allocation - Data6 (pent),17,130,100,4,11,1,2,13000,0,7,0,3,1,6,1,100,100,143000,0.0,114856
9,10,FFT/IFFT - Data1 (pulse),22,8,352,5,14,2,3,2815,0,5,0,0,0,2,2,2048,5500,39410,0.001001001001001,90436
10,11,FFT/IFFT - Data2 (spn),22,8,352,5,14,2,3,2815,0,5,0,0,0,2,2,2525,5635,39410,0.001001001001001,90436
11,12,FFT/IFFT - Data3 (sine),22,8,352,5,14,2,3,2815,0,5,0,0,0,2,2,2717,3549,39410,0.001001001001001,90436
12,13,Viterbi Decoder - Data1 (get),167,42,128,9,48,2,2,5376,0,17,8,3,0,1,1,1196,1196,258048,0.0,233467
13,14,Viterbi Decoder - Data2 (toggle),167,42,128,9,48,2,2,5376,0,17,8,3,0,1,1,2109,2109,258048,0.0,233478
14,15,Viterbi Decoder - Data3 (ones) ,167,42,128,9,48,2,2,5376,0,17,8,3,0,1,1,2034,2034,258048,0.0,233483
15,16,Viterbi Decoder - Data4 (zeros),167,42,128,9,48,2,2,5376,0,17,8,3,0,1,1,2395,2395,258048,0.0,233483
16,17,FLT_filterAP_fx,11,170,9,8,3,1,2,1530,0,3,0,0,1,4,2,724,4,4590,0.039039039039039,127880
17,18,LPC_Chebps_fx,16,1,3,8,7,1,1,3,0,1,0,0,0,3,1,16,2,21,1.0,56000
18,19,LPC_autocorrelation_fx,9,17,240,3,2,1,2,4080,0,4,2,0,1,5,1,622,34,8160,0.019019019019019,159300
19,20,FCS_Excit_Enhance_fx,31,80,20,1,6,3,2,1600,0,12,1,0,1,8,1,398,340,9600,0.003003003003003,51428
20,21,LSF_Q_New_ML_search_fx,30,1152,10,14,4,5,3,11520,0,32,0,3,1,11,3,2900,380,46080,0.0,45729
21,22,c_fft_fx,34,6,144,4,10,2,3,864,0,5,0,1,0,3,1,512,256,8640,0.024024024024024,264125
22,23,FCB_add_sub_contrib_phi,19,1,8,9,10,1,1,8,0,6,0,2,0,9,1,3458,4,80,0.4994994994995,121500
23,24,PIT_LT_Corr_Rmax_fx,45,68,80,31,2,3,3,5440,0,10,0,0,1,7,3,848,8,10880,0.0,21079
24,25,mf,10,1,1200,0,9,2,1,1200,3,3,1,0,0,5,1,9600,4800,10800,0.029029029029029,2112930
25,26,soft_demap,18,57600,6,2,18,1,2,259200,1,8,2,1,0,5,1,4800,4800,4665600,0.0,10374917
26,27,ifft,40,10,568,17,17,1,3,5680,2,5,0,0,0,3,1,2400,2400,96560,0.003003003003003,443688
27,28,chest,10,3,300,0,6,2,1,900,2,4,0,0,1,5,1,4800,4800,5400,0.0,3423
28,29,fft,38,10,568,17,17,1,3,5680,2,5,0,0,0,3,1,2400,2400,96560,0.005005005005005,659850
29,30,ant_comb,29,1,1200,0,29,1,1,1200,10,8,7,0,0,4,1,4800,4800,34800,0.041041041041041,20128332
30,31,cholsolve_4xX_complex,34,2,3,5,23,2,3,6,4,11,8,0,0,3,1,128,64,138,0.005005005005005,4212
31,32,matrix_a_a_herminte_...,60,3,3,1,50,3,1,9,8,21,11,0,0,5,1,128,64,450,0.168168168168168,531167
32,33,matrix_mult_4xX_com...,27,3,3,1,26,1,2,9,3,8,7,0,0,4,1,128,64,234,0.101101101101101,160038
33,8/1/2018,,1,2,3,4,5,6,7,8,12*,13,14,15,17,18,19,20,21,22*,,
